*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=PRO3
*Date=16:23:52
*CreatedBy=Fritzing 0.9.2b.11.19.8d2d5970658f0bed09c661c9ea9a515b5f40f44c
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
150;;;22.0218;-36.745;0;Bottom;Copper Fill4
151;;;41.8084;-23.4354;0;Bottom;Copper Fill93
152;;;26.6954;-35.856;0;Bottom;Copper Fill5
153;;;46.1264;-25.9754;0;Bottom;Copper Fill83
154;;;95.1992;-24.1466;0;Bottom;Copper Fill87
155;;;50.3936;-22.013;0;Bottom;Copper Fill34
156;;;44.6532;-7.3572;0;Bottom;Copper Fill120
157;;TO92 [THT];23.4648;-37.9037;0;Bottom;Q2
158;;;18.923;-35.7798;0;Bottom;Copper Fill3
159;;;24.0538;-6.0872;0;Bottom;Copper Fill122
160;;;44.196;-21.8606;0;Bottom;Copper Fill97
161;;;31.7246;-36.11;0;Bottom;Copper Fill60
162;;;9.7536;-12.9452;0;Bottom;Copper Fill44
163;;;67.564;-34.7638;0;Bottom;Copper Fill67
164;;;75.1586;-27.0676;0;Bottom;Copper Fill22
165;;;56.5912;-31.2078;0;Bottom;Copper Fill13
166;;;12.3952;-2.4804;0;Bottom;Copper Fill128
167;;THT;5.93542;-39.5518;0;Bottom;J1
168;;;49.0474;-17.9236;0;Bottom;Copper Fill103
169;220;THT;14.9578;-29.5719;90;Bottom;R11
170;;;26.924;-11.472;0;Bottom;Copper Fill115
171;;;39.7764;-13.9866;0;Bottom;Copper Fill107
172;;;72.1614;-33.6208;0;Bottom;Copper Fill69
173;;THT;46.3784;-15.5548;-90;Bottom;contraste
174;220;THT;30.7151;-27.0318;-90;Bottom;R5
175;;;5.334;-23.6894;0;Bottom;Copper Fill25
176;;;82.0928;-21.4542;0;Bottom;Copper Fill39
177;;;52.9336;-22.013;0;Bottom;Copper Fill35
